2018-06-17 19:39:00,738 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@57dc9128 | jndi | main
2018-06-17 19:39:00,742 | DEBUG | Looking up name="comp/env/spring.profiles.default" | jndi | main
2018-06-17 19:39:00,747 | DEBUG | Trying thread context classloader | jndi | main
2018-06-17 19:39:00,751 | DEBUG | Looking up name="env/spring.profiles.default" | jndi | main
2018-06-17 19:39:00,754 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:00,758 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@4010d494 | jndi | main
2018-06-17 19:39:00,762 | DEBUG | Looking up name="spring.profiles.default" | jndi | main
2018-06-17 19:39:00,768 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:00,771 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@d4602a | jndi | main
2018-06-17 19:39:00,775 | DEBUG | Looking up name="comp/env/spring.profiles.default" | jndi | main
2018-06-17 19:39:00,778 | DEBUG | Trying thread context classloader | jndi | main
2018-06-17 19:39:00,782 | DEBUG | Looking up name="env/spring.profiles.default" | jndi | main
2018-06-17 19:39:00,792 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:00,795 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@155d1021 | jndi | main
2018-06-17 19:39:00,798 | DEBUG | Looking up name="spring.profiles.default" | jndi | main
2018-06-17 19:39:01,152 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:01,157 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@27f1bbe0 | jndi | main
2018-06-17 19:39:01,161 | DEBUG | Looking up name="comp/env/spring.liveBeansView.mbeanDomain" | jndi | main
2018-06-17 19:39:01,164 | DEBUG | Trying thread context classloader | jndi | main
2018-06-17 19:39:01,167 | DEBUG | Looking up name="env/spring.liveBeansView.mbeanDomain" | jndi | main
2018-06-17 19:39:01,171 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:01,178 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@73877e19 | jndi | main
2018-06-17 19:39:01,182 | DEBUG | Looking up name="spring.liveBeansView.mbeanDomain" | jndi | main
2018-06-17 19:39:01,278 | DEBUG | Defaulting to use topics: true | org.apache.activemq.web.MessageServletSupport | main
2018-06-17 19:39:01,309 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2018-06-17 19:39:01,463 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:01,465 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@64aad6db | jndi | main
2018-06-17 19:39:01,470 | DEBUG | Looking up name="comp/env/jmx/runtime" | jndi | main
2018-06-17 19:39:01,474 | DEBUG | Trying thread context classloader | jndi | main
2018-06-17 19:39:01,477 | DEBUG | Made context comp for classloader: WebAppClassLoader=Apache ActiveMQ REST API@3a91d146 | jndi | main
2018-06-17 19:39:01,479 | DEBUG | Looking up name="env/jmx/runtime" | jndi | main
2018-06-17 19:39:03,634 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:03,637 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@78525ef9 | jndi | main
2018-06-17 19:39:03,639 | DEBUG | Looking up name="comp/env" | jndi | main
2018-06-17 19:39:03,641 | DEBUG | Trying thread context classloader | jndi | main
2018-06-17 19:39:03,643 | DEBUG | Made context comp for classloader: WebAppClassLoader=hawtio@1fde4f40 | jndi | main
2018-06-17 19:39:03,645 | DEBUG | Looking up name="env" | jndi | main
2018-06-17 19:39:03,657 | INFO  | Loading Blueprint contexts [file:/opt/apache-activemq-5.12.2/tmp/jetty-0.0.0.0-8161-hawtio-default-1.5.10.war-_hawtio-any-/webapp/WEB-INF/classes/OSGI-INF/blueprint/blueprint.xml, jar:file:/opt/apache-activemq-5.12.2/tmp/jetty-0.0.0.0-8161-hawtio-default-1.5.10.war-_hawtio-any-/webapp/WEB-INF/lib/hawtio-aether-1.5.10.jar!/OSGI-INF/blueprint/blueprint.xml, jar:file:/opt/apache-activemq-5.12.2/tmp/jetty-0.0.0.0-8161-hawtio-default-1.5.10.war-_hawtio-any-/webapp/WEB-INF/lib/hawtio-core-1.5.10.jar!/OSGI-INF/blueprint/blueprint.xml, jar:file:/opt/apache-activemq-5.12.2/tmp/jetty-0.0.0.0-8161-hawtio-default-1.5.10.war-_hawtio-any-/webapp/WEB-INF/lib/hawtio-git-1.5.10.jar!/OSGI-INF/blueprint/blueprint.xml, jar:file:/opt/apache-activemq-5.12.2/tmp/jetty-0.0.0.0-8161-hawtio-default-1.5.10.war-_hawtio-any-/webapp/WEB-INF/lib/hawtio-ide-1.5.10.jar!/OSGI-INF/blueprint/blueprint.xml, jar:file:/opt/apache-activemq-5.12.2/tmp/jetty-0.0.0.0-8161-hawtio-default-1.5.10.war-_hawtio-any-/webapp/WEB-INF/lib/hawtio-json-schema-mbean-1.5.10.jar!/OSGI-INF/blueprint/blueprint.xml, jar:file:/opt/apache-activemq-5.12.2/tmp/jetty-0.0.0.0-8161-hawtio-default-1.5.10.war-_hawtio-any-/webapp/WEB-INF/lib/hawtio-local-jvm-mbean-1.5.10.jar!/OSGI-INF/blueprint/blueprint.xml] | /hawtio | main
2018-06-17 19:39:06,277 | INFO  | jolokia-agent: Using restrictor io.hawt.web.RBACRestrictor | /hawtio | main
2018-06-17 19:39:06,341 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:06,344 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@7a2ab862 | jndi | main
2018-06-17 19:39:06,347 | DEBUG | Looking up name="comp/env/jmx/runtime" | jndi | main
2018-06-17 19:39:06,350 | DEBUG | Trying thread context classloader | jndi | main
2018-06-17 19:39:06,353 | DEBUG | Looking up name="env/jmx/runtime" | jndi | main
2018-06-17 19:39:06,358 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:06,360 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@d611f1c | jndi | main
2018-06-17 19:39:06,363 | DEBUG | Looking up name="comp/env/jmx/runtime" | jndi | main
2018-06-17 19:39:06,366 | DEBUG | Trying thread context classloader | jndi | main
2018-06-17 19:39:06,369 | DEBUG | Looking up name="env/jmx/runtime" | jndi | main
2018-06-17 19:39:06,373 | DEBUG | InitialContextFactory.getInitialContext() | jndi | main
2018-06-17 19:39:06,376 | DEBUG | Created initial context delegate for local namespace:org.eclipse.jetty.jndi.local.localContextRoot@66c9b52f | jndi | main
2018-06-17 19:39:06,379 | DEBUG | Looking up name="comp/env/jmx/runtime" | jndi | main
2018-06-17 19:39:06,382 | DEBUG | Trying thread context classloader | jndi | main
2018-06-17 19:39:06,386 | DEBUG | Looking up name="env/jmx/runtime" | jndi | main
2018-06-17 19:39:06,410 | INFO  | jolokia-agent: Jolokia Discovery MBean registration is skipped because there is already one registered. | /hawtio | main
2018-06-17 19:39:06,533 | DEBUG | Unable to locate LifecycleProcessor with name 'lifecycleProcessor': using default [org.springframework.context.support.DefaultLifecycleProcessor@31723307] | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
5.12.2]
	at org.apache.activemq.broker.LockableServiceSupport.preStart(LockableServiceSupport.java:89)[activemq-broker-5.12.2.jar:5.12.2]
	at org.apache.activemq.util.ServiceSupport.start(ServiceSupport.java:54)[activemq-client-5.12.2.jar:5.12.2]
	at org.apache.activemq.broker.BrokerService.doStartPersistenceAdapter(BrokerService.java:651)[activemq-broker-5.12.2.jar:5.12.2]
	at org.apache.activemq.broker.BrokerService.startPersistenceAdapter(BrokerService.java:640)[activemq-broker-5.12.2.jar:5.12.2]
	at org.apache.activemq.broker.BrokerService.start(BrokerService.java:604)[activemq-broker-5.12.2.jar:5.12.2]
	at org.apache.activemq.xbean.XBeanBrokerService.afterPropertiesSet(XBeanBrokerService.java:73)[activemq-spring-5.12.2.jar:5.12.2]
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)[:1.8.0_151]
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)[:1.8.0_151]
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)[:1.8.0_151]
	at java.lang.reflect.Method.invoke(Method.java:498)[:1.8.0_151]
	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeCustomInitMethod(AbstractAutowireCapableBeanFactory.java:1640)[spring-beans-3.2.11.RELEASE.jar:3.2.11.RELEASE]
